city,year,weekofyear,total_cases
sj,2010,42,70
sj,2010,43,67
sj,2010,44,65
sj,2010,45,64
sj,2010,46,64
sj,2010,47,61
sj,2010,48,54
sj,2010,49,47
sj,2010,50,40
sj,2010,51,37
sj,2011,52,37
sj,2011,1,38
sj,2011,2,37
sj,2011,3,35
sj,2011,4,32
sj,2011,5,30
sj,2011,6,28
sj,2011,7,27
sj,2011,8,26
sj,2011,9,25
sj,2011,10,23
sj,2011,11,22
sj,2011,12,20
sj,2011,13,20
sj,2011,14,20
sj,2011,15,20
sj,2011,16,20
sj,2011,17,20
sj,2011,18,21
sj,2011,19,23
sj,2011,20,23
sj,2011,21,24
sj,2011,22,25
sj,2011,23,27
sj,2011,24,30
sj,2011,25,32
sj,2011,26,33
sj,2011,27,34
sj,2011,28,37
sj,2011,29,42
sj,2011,30,48
sj,2011,31,54
sj,2011,32,57
sj,2011,33,59
sj,2011,34,60
sj,2011,35,61
sj,2011,36,63
sj,2011,37,67
sj,2011,38,71
sj,2011,39,74
sj,2011,40,77
sj,2011,41,77
sj,2011,42,74
sj,2011,43,71
sj,2011,44,69
sj,2011,45,68
sj,2011,46,68
sj,2011,47,65
sj,2011,48,58
sj,2011,49,51
sj,2011,50,44
sj,2011,51,41
sj,2012,52,41
sj,2012,1,42
sj,2012,2,41
sj,2012,3,39
sj,2012,4,36
sj,2012,5,34
sj,2012,6,32
sj,2012,7,31
sj,2012,8,30
sj,2012,9,29
sj,2012,10,27
sj,2012,11,25
sj,2012,12,24
sj,2012,13,24
sj,2012,14,23
sj,2012,15,23
sj,2012,16,24
sj,2012,17,24
sj,2012,18,25
sj,2012,19,26
sj,2012,20,27
sj,2012,21,28
sj,2012,22,29
sj,2012,23,31
sj,2012,24,33
sj,2012,25,35
sj,2012,26,37
sj,2012,27,38
sj,2012,28,41
sj,2012,29,45
sj,2012,30,52
sj,2012,31,57
sj,2012,32,61
sj,2012,33,62
sj,2012,34,63
sj,2012,35,65
sj,2012,36,67
sj,2012,37,70
sj,2012,38,74
sj,2012,39,78
sj,2012,40,80
sj,2012,41,80
sj,2012,42,78
sj,2012,43,75
sj,2012,44,72
sj,2012,45,72
sj,2012,46,71
sj,2012,47,68
sj,2012,48,62
sj,2012,49,55
sj,2012,50,48
sj,2012,51,45
sj,2013,1,45
sj,2013,2,45
sj,2013,3,44
sj,2013,4,42
sj,2013,5,39
sj,2013,6,37
sj,2013,7,36
sj,2013,8,34
sj,2013,9,34
sj,2013,10,32
sj,2013,11,31
sj,2013,12,29
sj,2013,13,28
sj,2013,14,27
sj,2013,15,27
sj,2013,16,27
sj,2013,17,27
iq,2010,26,5
iq,2010,27,6
iq,2010,28,6
iq,2010,29,6
iq,2010,30,6
iq,2010,31,6
iq,2010,32,6
iq,2010,33,7
iq,2010,34,6
iq,2010,35,7
iq,2010,36,8
iq,2010,37,9
iq,2010,38,10
iq,2010,39,11
iq,2010,40,12
iq,2010,41,14
iq,2010,42,15
iq,2010,43,15
iq,2010,44,13
iq,2010,45,11
iq,2010,46,12
iq,2010,47,16
iq,2010,48,19
iq,2010,49,19
iq,2010,50,14
iq,2010,51,10
iq,2011,52,9
iq,2011,1,13
iq,2011,2,17
iq,2011,3,18
iq,2011,4,17
iq,2011,5,16
iq,2011,6,15
iq,2011,7,15
iq,2011,8,14
iq,2011,9,12
iq,2011,10,10
iq,2011,11,9
iq,2011,12,9
iq,2011,13,10
iq,2011,14,9
iq,2011,15,8
iq,2011,16,8
iq,2011,17,8
iq,2011,18,8
iq,2011,19,8
iq,2011,20,7
iq,2011,21,7
iq,2011,22,7
iq,2011,23,7
iq,2011,24,6
iq,2011,25,6
iq,2011,26,6
iq,2011,27,7
iq,2011,28,7
iq,2011,29,7
iq,2011,30,6
iq,2011,31,6
iq,2011,32,7
iq,2011,33,7
iq,2011,34,7
iq,2011,35,7
iq,2011,36,8
iq,2011,37,10
iq,2011,38,11
iq,2011,39,12
iq,2011,40,13
iq,2011,41,14
iq,2011,42,16
iq,2011,43,16
iq,2011,44,14
iq,2011,45,12
iq,2011,46,13
iq,2011,47,17
iq,2011,48,20
iq,2011,49,19
iq,2011,50,15
iq,2011,51,10
iq,2012,52,10
iq,2012,1,13
iq,2012,2,17
iq,2012,3,19
iq,2012,4,18
iq,2012,5,16
iq,2012,6,16
iq,2012,7,16
iq,2012,8,15
iq,2012,9,13
iq,2012,10,10
iq,2012,11,10
iq,2012,12,10
iq,2012,13,10
iq,2012,14,10
iq,2012,15,9
iq,2012,16,9
iq,2012,17,9
iq,2012,18,9
iq,2012,19,8
iq,2012,20,8
iq,2012,21,7
iq,2012,22,8
iq,2012,23,7
iq,2012,24,7
iq,2012,25,6
iq,2012,26,7
iq,2012,27,7
iq,2012,28,8
iq,2012,29,7
iq,2012,30,7
iq,2012,31,7
iq,2012,32,7
iq,2012,33,8
iq,2012,34,8
iq,2012,35,8
iq,2012,36,9
iq,2012,37,10
iq,2012,38,12
iq,2012,39,12
iq,2012,40,13
iq,2012,41,15
iq,2012,42,16
iq,2012,43,16
iq,2012,44,14
iq,2012,45,13
iq,2012,46,13
iq,2012,47,17
iq,2012,48,20
iq,2012,49,20
iq,2012,50,16
iq,2012,51,11
iq,2013,1,10
iq,2013,2,14
iq,2013,3,18
iq,2013,4,19
iq,2013,5,18
iq,2013,6,17
iq,2013,7,17
iq,2013,8,17
iq,2013,9,16
iq,2013,10,13
iq,2013,11,11
iq,2013,12,10
iq,2013,13,11
iq,2013,14,11
iq,2013,15,10
iq,2013,16,10
iq,2013,17,9
iq,2013,18,9
iq,2013,19,9
iq,2013,20,9
iq,2013,21,8
iq,2013,22,8
iq,2013,23,8
iq,2013,24,8
iq,2013,25,7
iq,2013,26,7
